CUSTID,SDATE,PRODUCTID,L_CLASS,M_CLASS,SUBTOTAL
100001,2019-07-02,9937845,"BAG","BAG01",1740
100001,2019-07-09,9903878,"BAG","BAG01",3108
100001,2019-08-08,9922209,"COSMETICS","COSMETICS03",2888
100001,2019-08-18,9901187,"SHOES","SHOES02",2700
100001,2019-08-26,9910507,"COSMETICS","COSMETICS03",3385
100001,2019-10-03,9903857,"BAG","BAG01",2395
100001,2019-10-06,9905074,"SHOES","SHOES02",1372
100001,2019-10-16,9937849,"SHOES","SHOES01",5838
100001,2019-11-02,9937847,"COSMETICS","COSMETICS02",4000
100001,2019-11-02,9937848,"SHOES","SHOES03",15288
100001,2019-11-28,9900330,"SHOES","SHOES02",1672
100004,2019-01-16,9905063,"SHOES","SHOES03",12850
100004,2019-05-14,9903627,"COSMETICS","COSMETICS03",4076
100004,2019-06-25,9910983,"SHOES","SHOES03",23000
100004,2019-06-25,9912251,"SHOES","SHOES03",8800
100004,2019-06-25,9915636,"BAG","BAG03",2738
100004,2019-07-03,9900023,"COSMETICS","COSMETICS02",1311
100004,2019-09-11,9902475,"COSMETICS","COSMETICS03",3200
100004,2019-12-11,9913377,"COSMETICS","COSMETICS03",6400
100004,2019-12-11,9901362,"SHOES","SHOES03",1240
100006,2019-01-07,9937850,"BAG","BAG02",1500
100006,2019-09-18,9905570,"BAG","BAG03",3100
100006,2019-11-20,9900650,"COSMETICS","COSMETICS02",3600
100008,2019-01-06,9900990,"COSMETICS","COSMETICS03",6150
100008,2019-01-08,9900815,"SHOES","SHOES03",1200
100008,2019-01-09,9903023,"BAG","BAG03",2800
100008,2019-04-23,9900604,"COSMETICS","COSMETICS02",1106
100008,2019-05-22,9900699,"SHOES","SHOES03",3300
100008,2019-06-08,9900432,"SHOES","SHOES03",1800
100008,2019-08-18,9900699,"SHOES","SHOES03",1512
100008,2019-09-02,9900699,"SHOES","SHOES03",1881
100008,2019-10-29,9905062,"SHOES","SHOES03",1430
100008,2019-12-28,9900567,"COSMETICS","COSMETICS02",1396
100008,2019-12-28,9905615,"COSMETICS","COSMETICS01",2376
100012,2019-02-25,9900451,"SHOES","SHOES03",3950
100012,2019-03-02,9900227,"COSMETICS","COSMETICS02",1950
100012,2019-03-28,9900277,"COSMETICS","COSMETICS01",1610
100012,2019-05-09,9900087,"SHOES","SHOES03",1440
100012,2019-07-09,9905109,"BAG","BAG03",6936
100012,2019-07-10,9906303,"SHOES","SHOES03",1300
100012,2019-10-05,9914884,"BAG","BAG03",53846
100012,2019-12-12,9903744,"SHOES","SHOES03",1834
100016,2019-03-09,9900217,"COSMETICS","COSMETICS02",7820
100016,2019-08-28,9937857,"COSMETICS","COSMETICS03",33680
100017,2019-08-19,9901412,"BAG","BAG03",4455
100017,2019-11-30,9909234,"SHOES","SHOES03",1726
100017,2019-11-30,9907671,"COSMETICS","COSMETICS03",1298
100019,2019-05-24,9911047,"SHOES","SHOES01",1710
100019,2019-05-24,9915831,"COSMETICS","COSMETICS03",2610
100019,2019-05-24,9911798,"COSMETICS","COSMETICS03",2610
100019,2019-06-07,9937861,"COSMETICS","COSMETICS03",5648
100019,2019-07-11,9915831,"COSMETICS","COSMETICS03",12682
100019,2019-08-02,9915831,"COSMETICS","COSMETICS03",11000
100019,2019-08-02,9911797,"COSMETICS","COSMETICS03",10500
100019,2019-12-28,9937861,"COSMETICS","COSMETICS03",4458
100020,2019-02-21,9936484,"BAG","BAG03",2914
100020,2019-03-15,9903975,"COSMETICS","COSMETICS01",1824
100020,2019-03-15,9901255,"COSMETICS","COSMETICS01",1972
100020,2019-07-17,9936484,"BAG","BAG03",3068
100020,2019-07-19,9936484,"BAG","BAG03",1534
100020,2019-07-22,9936484,"BAG","BAG03",1534
100020,2019-12-27,9901255,"COSMETICS","COSMETICS01",1955
100021,2019-05-22,9906228,"COSMETICS","COSMETICS03",2907
